Journal Name,Count of Articles (2014 to 2016),Cited Articles,Ratio of Cited Articles,In Beall List,Removed from DOAJ
International Journal of Advanced Research,2600,16,0.00615384615385,True,True
The Journal of Academic Social Science Studies,1039,8,0.00769971126083,True,False
Speculum,907,10,0.0110253583241,False,True
Journal of Applied Pharmaceutical Science,638,10,0.0156739811912,True,False
Journal of Evidence Based Medicine and Healthcare,2159,36,0.0166743862899,True,False
The Advanced Science Journal,519,9,0.0173410404624,True,False
Journal of Evolution of Medical and Dental Sciences,5604,99,0.0176659528908,False,True
Cardiologia Croatica,663,17,0.025641025641,False,True
Mediterranean Journal of Social Sciences,5462,150,0.0274624679605,False,True
Eastern-European Journal of Enterprise Technologies,1659,46,0.0277275467149,False,True
"International Journal of u- and e- Service, Science and Technology",545,21,0.0385321100917,False,True
International Journal of Academic Research in Business and Social Sciences,1146,46,0.0401396160558,False,True
"International Journal of Reproduction, Contraception, Obstetrics and Gynecology",1749,71,0.0405946255003,False,True
International Journal of Anatomy and Research,552,24,0.0434782608696,False,True
"International Journal of Advanced Research in Electrical, Electronics and Instrumentation Engineering",812,36,0.0443349753695,True,False
International Journal on Recent and Innovation Trends in Computing and Communication,521,25,0.0479846449136,True,False
International Journal of Research in Medical Sciences,2300,118,0.0513043478261,False,True
Advance Journal of Food Science and Technology,989,51,0.051567239636,False,True
International Journal of Current Microbiology and Applied Sciences,1261,66,0.0523394131642,True,False
International Letters of Social and Humanistic Sciences,812,43,0.0529556650246,True,True
"Biosciences, Biotechnology Research Asia",554,32,0.057761732852,True,False
Journal of Clinical and Analytical Medicine,538,32,0.0594795539033,True,False
International Journal of Engineering Trends and Technology,2608,161,0.0617331288344,True,False
International Archives of Medicine,663,47,0.0708898944193,True,False
International Journal of Research in Engineering and Technology,4589,364,0.0793201133144,True,False
"Research Journal of Applied Sciences, Engineering and Technology",1730,144,0.0832369942197,False,True
International Journal of Medical Science and Public Health,1268,112,0.0883280757098,True,False
Review of European Studies,553,49,0.0886075949367,False,True
International Journal of Advanced Computer Science and Applications,1557,140,0.0899165061015,False,True
Theory and Practice in Language Studies,1005,95,0.0945273631841,False,True
International Journal of Mathematical Analysis,695,67,0.0964028776978,False,True
Journal of Education and Training Studies,507,50,0.0986193293886,False,True
